id,source_numeric_id,chinese_name,pinyin,english_name
SMTS00445,445,肩疼痛,Jian Teng Tong,Shoulder Pain
SMTS00446,446,睑弦赤烂,Jian Xian Chi Lan,Red and rotten eyelid strings
SMTS00447,447,健忘,Jian Wang,Forgetfulness
SMTS00449,449,僵硬,Jiang Ying,stiffness
SMTS00450,450,僵硬畸形,Jiang Ying Ji Xing,stiffness and deformity
SMTS00451,451,焦虑,Jiao Lv,Anxiety
SMTS00453,453,脚气浮肿,Jiao Qi Fu Zhong,athlete’s foot and edema
SMTS00454,454,脚重,Jiao Zhong,heavy feet
SMTS00455,455,疖肿,Jie Zhong,boils and swelling
SMTS00458,458,疥癣瘙痒,Jie Xian Sao Yang,scabies itching
SMTS00459,459,津伤,Jin Shang,body fluid injury
SMTS00460,460,筋骨酸痛,Jin Gu Suan Tong,muscle and bone aches
SMTS00461,461,筋骨疼痛,Jin Gu Teng Tong,muscle and bone pain
SMTS00462,462,筋骨痿软,Jin Gu Wei Ruan,weak muscles and bones
SMTS00463,463,筋骨无力,Jin Gu Wu Li,weakness of muscles and bones
SMTS00464,464,筋骨瘀痛,Jin Gu Yu Tong,muscle and bone stasis and pain
SMTS00465,465,筋脉拘急,Jin Mai Ju Ji,Tension in tendons and arteries
SMTS00466,466,筋脉拘挛,Jin Mai Ju Luan,muscle spasm
SMTS00467,467,筋扭伤,Jin Niu Shang,tendon sprain
SMTS00468,468,筋伤,Jin Shang,tendon injury
SMTS00470,470,经闭,Jing Bi,amenorrhea
SMTS00471,471,经初行不畅,Jing Chu Xing Bu Chang,Sluggish menstruation at the beginning of menstruation
SMTS00472,472,经寒不调,Jing Han Bu Diao,Irregular menstruation
SMTS00473,473,经行腹痛,Jing Xing Fu Tong,abdominal pain during menstruation
SMTS00474,474,经行量少,Jing Xing Liang Shao,low menstrual flow
SMTS00475,475,经行痛减,Jing Xing Tong Jian,Reduced menstrual pain
SMTS00476,476,经行小腹冷痛,Jing Xing Xiao Fu Leng Tong,cold pain in lower abdomen during menstruation
SMTS00477,477,经行小腹疼痛,Jing Xing Xiao Fu Teng Tong,lower abdominal pain during menstruation
SMTS00478,478,经行小腹喜热,Jing Xing Xiao Fu Xi Re,Feeling hot in the lower abdomen during menstruation
SMTS00479,479,经行小腹胀痛,Jing Xing Xiao Fu Zhang Tong,lower abdominal distension and pain during menstruation
SMTS00480,480,经量少有血块,Jing Liang Shao You Xie Kuai,low menstrual flow and blood clots
SMTS00481,481,经期腹痛,Jing Qi Fu Tong,abdominal pain during menstruation
SMTS00482,482,经期延长,Jing Qi Yan Chang,prolonged menstruation
SMTS00483,483,经前腹痛加剧,Jing Qian Fu Tong Jia Ju,Premenstrual abdominal pain worsens
SMTS00484,484,经前乳房胀痛,Jing Qian Ru Fang Zhang Tong,Premenstrual breast swelling and pain
SMTS00485,485,经前乳胀,Jing Qian Ru Zhang,Premenstrual breast swelling
SMTS00486,486,经前双乳胀痛,Jing Qian Shuang Ru Zhang Tong,Premenstrual breast swelling and pain
SMTS00487,487,经前疼痛加重,Jing Qian Teng Tong Jia Zhong,worsening of premenstrual pain
SMTS00488,488,经前头痛,Jing Qian Tou Tong,Premenstrual headache
SMTS00489,489,经前性情急躁,Jing Qian Xing Qing Ji Zao,Premenstrual irritability
SMTS00490,490,经前胸闷,Jing Qian Xiong Men,Premenstrual chest tightness
SMTS00491,491,经少色淡,Jing Shao Se Dan,scanty menstruation and light color
SMTS00492,492,经水淋漓不净,Jing Shui Lin Li Bu Jing,Menstrual fluid dripping and unclean
SMTS00493,493,经血紫暗,Jing Xie Zi An,dark purple menstrual blood
SMTS00495,495,惊风抽搐,Liang Feng Chou Chu,convulsions and convulsions
SMTS00496,496,惊悸,Liang Ji,palpitation
SMTS00497,497,惊悸不安,Liang Ji Bu An,panic and restlessness
SMTS00498,498,惊悸不宁,Liang Ji Bu Ning,panic and restlessness
SMTS00499,499,惊悸多梦,Liang Ji Duo Meng,palpitation and dreaminess
SMTS00500,500,惊厥,Liang Jue,convulsions
SMTS00501,501,惊恐,Liang Kong,Panic
SMTS00502,502,惊痫,Liang Xian,epilepsy
SMTS00503,503,惊痫不安,Liang Xian Bu An,epilepsy and restlessness
SMTS00504,504,精亏,Jing Yu,Jing deficiency
SMTS00505,505,精冷,Jing Leng,Jing Leng
SMTS00506,506,精气不足,Jing Qi Bu Zu,Insufficient Essence and Qi
SMTS00507,507,精神不振,Jing Shen Bu Zhen,Lack of energy
SMTS00508,508,精神恍惚,Jing Shen Huang Hu,Trance
SMTS00509,509,精神萎靡,Jing Shen Wei Mi,listlessness
SMTS00510,510,精神忧郁,Jing Shen You Yu,Mental Depression
SMTS00511,511,精溢,Jing Yi,semen overflow
SMTS00512,512,颈肩部僵硬,Jing Jian Bu Jiang Ying,stiff neck and shoulders
SMTS00513,513,颈项活动不利,Jing Xiang Huo Dong Bu Li,Inability to move the neck
SMTS00515,515,颈项僵直,Jing Xiang Jiang Zhi,stiff neck
SMTS00516,516,颈项紧张不舒,Jing Xiang Jin Zhang Bu Shu,Neck tension and discomfort
SMTS00517,517,颈项疼痛,Jing Xiang Teng Tong,Neck Pain
SMTS00518,518,颈椎病型头痛,Jing Zhui Bing Xing Tou Tong,cervical spondylosis type headache
SMTS00520,520,胫膝酸软,Jing Xi Suan Ruan,Soreness and weakness in shins and knees
SMTS00521,521,痉厥,Jing Jue,convulsions
SMTS00522,522,痉挛,Jing Luan,spasm
SMTS00523,523,久病体弱,Jiu Bing Ti Ruo,chronic illness and weakness
SMTS00524,524,久咳,Jiu Ke,Chronic Cough
SMTS00525,525,久咳不止,Jiu Ke Bu Zhi,persistent cough
SMTS00528,528,久疟体虚,Jiu Nve Ti Xu,chronic malaria and physical weakness
SMTS00529,529,久嗽,Jiu Sou,Chronic Cough
SMTS00530,530,久嗽不止,Jiu Sou Bu Zhi,persistent cough
SMTS00531,531,久泻,Jiu Xie,chronic diarrhea
SMTS00532,532,久泻不止,Jiu Xie Bu Zhi,persistent diarrhea
SMTS00533,533,久泻久痢,Jiu Xie Jiu Li,chronic diarrhea and dysentery
SMTS00534,534,久泻脱肛,Jiu Xie Tuo Gang,chronic diarrhea and anal prolapse
SMTS00535,535,拘挛麻木,Ju Luan Ma Mu,spasm and numbness
SMTS00536,536,局部恶寒,Ju Bu E Han,local aversion to cold
SMTS00537,537,局部红肿,Ju Bu Hong Zhong,local redness and swelling
SMTS00538,538,局部畏恶风寒,Ju Bu Wei E Feng Han,local fear of wind and cold
SMTS00539,539,局部畏风寒,Ju Bu Wei Feng Han,local fear of wind and cold
SMTS00540,540,局部畏寒,Ju Bu Wei Han,local chills
SMTS00542,542,倦怠,Juan Dai,Burnout
SMTS00543,543,倦怠乏力,Juan Dai Fa Li,fatigue and fatigue
SMTS00544,544,厥阴头痛,Jue Yin Tou Tong,Jueyin headache
SMTS00545,545,咳喘,Ke Chuan,Cough and asthma
SMTS00546,546,咳喘痛甚,Ke Chuan Tong Shen,"Cough, asthma and severe pain"
SMTS00547,547,咳呛阵作,Ke Qiang Zhen Zuo,bursts of coughing and choking
SMTS00548,548,咳甚而喘,Ke Shen Er Chuan,Cough and even wheezing
SMTS00549,549,咳嗽,Ke Sou,cough
SMTS00550,550,咳嗽频作,Ke Sou Pin Zuo,Frequent cough
SMTS00551,551,咳嗽日久,Ke Sou Ri Jiu,Cough that lasts for a long time
SMTS00552,552,咳嗽痰多,Ke Sou Tan Duo,Cough with excessive phlegm
SMTS00553,553,咳嗽痰盛,Ke Sou Tan Sheng,Cough with excessive phlegm
SMTS00554,554,咳嗽有痰,Ke Sou You Tan,Cough with phlegm
SMTS00555,555,咳嗽阵作,Ke Sou Zhen Zuo,Cough bursts
SMTS00556,556,咳痰不爽,Ke Tan Bu Shuang,Unpleasant coughing up phlegm
SMTS00557,557,咳痰不已,Ke Tan Bu Yi,endless coughing up phlegm
SMTS00558,558,咳痰带血,Ke Tan Dai Xie,coughing up phlegm with blood
SMTS00559,559,咳痰色白,Ke Tan Se Bai,cough with white phlegm
SMTS00560,560,咳吐不爽,Ke Tu Bu Shuang,Unpleasant cough and vomiting
SMTS00561,561,咳血,Ke Xie,coughing up blood
SMTS00562,562,渴,Ke,Thirst
SMTS00563,563,渴不思饮,Ke Bu Si Yin,Thirst and no desire to drink
SMTS00564,564,渴不欲饮,Ke Bu Yu Yin,Thirst and no desire to drink
SMTS00565,565,口鼻生疮,Kou Bi Sheng Chuang,Sores in the mouth and nose
SMTS00566,566,口臭,Kou Chou,bad breath
SMTS00567,567,口疮,Kou Chuang,Aphthous Sores
SMTS00568,568,口疮肿痛,Kou Chuang Zhong Tong,aphthous swelling and pain
SMTS00569,569,口唇青紫,Kou Chun Qing Zi,blue lips
SMTS00570,570,口唇紫绀,Kou Chun Zi Gan,cyanosis of lips
SMTS00571,571,口淡乏味,Kou Dan Fa Wei,Bland mouth
SMTS00573,573,口干,Kou Gan,dry mouth
SMTS00574,574,口角流诞,Kou Jiao Liu Dan,quarrels and quarrels
SMTS00575,575,口角流涎,Kou Jiao Liu Xian,salivation at the corners of the mouth
SMTS00576,576,口噤,Kou Jin,Silence of mouth
SMTS00577,577,口渴,Kou Ke,Thirst
SMTS00578,578,口渴不欲饮,Kou Ke Bu Yu Yin,Thirst and no desire to drink
SMTS00579,579,口渴喜饮,Kou Ke Xi Yin,thirsty and fond of drinking
SMTS00580,580,口苦,Kou Ku,Bitter mouth
SMTS00581,581,口糜烂,Kou Mi Lan,Oral erosion
SMTS00582,582,口黏,Kou Nian,sticky mouth
SMTS00584,584,口腔溃疡久不收敛,Kou Qiang Kui Yang Jiu Bu Shou Lian,Oral ulcers that persist for a long time
SMTS00586,586,口舌干燥,Kou She Gan Zao,Dry mouth and tongue
SMTS00587,587,口舌生疮,Kou She Sheng Chuang,Sores on the mouth and tongue
SMTS00589,589,口舌肿痛,Kou She Zhong Tong,swelling and pain in mouth and tongue
SMTS00590,590,口生疮,Kou Sheng Chuang,mouth sores
SMTS00591,591,口吐涎沫,Kou Tu Xian Mo,spitting at the mouth
SMTS00592,592,口喎,Kou Wai,Mouth
SMTS00593,593,口眼涡斜,Kou Yan Wo Xie,vortex of mouth and eyes
SMTS00594,594,口喁,Kou Yong,Mouth
SMTS00595,595,口燥,Kou Zao,Dry mouth
SMTS00596,596,口中甜腻,Kou Zhong Tian Ni,sweetness and greasiness in the mouth
SMTS00597,597,狂躁,Kuang Zao,Mania
SMTS00598,598,溃疡不敛,Kui Yang Bu Lian,ulcers that do not heal
SMTS00599,599,剌痛,La Tong,stinging pain
SMTS00600,600,懒言,Lan Yan,Lazy Talk
SMTS00601,601,劳伤,Lao Shang,Strain
SMTS00602,602,劳嗽,Lao Sou,labor cough
SMTS00603,603,劳嗽咯血,Lao Sou Ge Xie,labor cough and hemoptysis
SMTS00604,604,痨嗽,Lao Sou,tuberculosis and cough
SMTS00605,605,老年轻度认知障碍,Lao Nian Qing Du Ren Zhi Zhang Ai,Mild Cognitive Impairment in the Elderly
SMTS00606,606,老年腰膝酸软,Lao Nian Yao Xi Suan Ruan,Soreness and weakness in waist and knees in the elderly
SMTS00607,607,羸瘦,Lei Shou,thinness
SMTS00608,608,肋间神经痛,Lei Jian Shen Jing Tong,intercostal neuralgia
SMTS00609,609,冷喘,Leng Chuan,cold asthma
SMTS00610,610,冷汗自出,Leng Han Zi Chu,cold sweat spontaneously
SMTS00611,611,冷痛,Leng Tong,cold pain
SMTS00612,612,冷哮,Leng Xiao,cold asthma
SMTS00613,613,冷泻,Leng Xie,cold diarrhea
SMTS00614,614,里急后重,Li Ji Hou Zhong,tenesmus
SMTS00616,616,臁疮糜烂,Lian Chuang Mi Lan,ecthyma and erosion
SMTS00617,617,两腮痛,Liang Sai Tong,Pain in both cheeks
SMTS00618,618,两腮肿,Liang Sai Zhong,swollen cheeks
SMTS00619,619,两腮肿痛,Liang Sai Zhong Tong,swelling and pain in both cheeks
SMTS00620,620,两胁疼痛,Liang Xie Teng Tong,Pain in both flanks
SMTS00621,621,两胁胀痛,Liang Xie Zhang Tong,swelling and pain in both sides of the body
SMTS00622,622,两眼刺痛,Liang Yan Ci Tong,tingling in both eyes
SMTS00623,623,淋沥疼痛,Lin Li Teng Tong,Lymph Pain
SMTS00625,625,淋证涩痛,Lin Zheng Se Tong,"stranguria syndrome, astringent pain"
SMTS00627,627,淋浊,Lin Zhuo,stranguria
SMTS00629,629,流产后出血,Liu Chan Hou Chu Xie,Post-abortion Bleeding
SMTS00630,630,流产后宫缩不良,Liu Chan Hou Gong Suo Bu Liang,poor uterine contractions after miscarriage
SMTS00631,631,流黄稠涕,Liu Huang Chou Ti,yellow and thick nasal discharge
SMTS00632,632,流黄涕,Liu Huang Ti,yellow runny nose
SMTS00633,633,流黄浊涕,Liu Huang Zhuo Ti,yellowish and turbid nasal discharge
SMTS00634,634,流泪,Liu Lei,Tears
SMTS00635,635,流脓,Liu Nong,pus discharge
SMTS00636,636,流脓涕,Liu Nong Ti,purulent nasal discharge
SMTS00637,637,流清涕,Liu Qing Ti,runny nose
SMTS00638,638,流涕,Liu Ti,runny nose
SMTS00639,639,流涕黏白,Liu Ti Nian Bai,runny nose and sticky white urine
SMTS00641,641,流浊涕,Liu Zhuo Ti,runny nose
SMTS00642,642,瘰疬,Luo Li,Scrofula
SMTS00643,643,瘰疬未溃,Luo Li Wei Kui,Scrofula does not break out
SMTS00644,644,落枕,Luo Zhen,stiff neck
SMTS00645,645,屡经流产,Lv Jing Liu Chan,Repeated Miscarriages
SMTS00646,646,麻痹瘙痒,Ma Bi Sao Yang,numbness and itching
SMTS00647,647,麻木,Ma Mu,Numbness
SMTS00648,648,麻木拘挛,Ma Mu Ju Luan,numbness and spasm
SMTS00649,649,麻木瘫痪,Ma Mu Tan Huan,numbness and paralysis
SMTS00650,650,麻疹不透,Ma Zhen Bu Tou,Measles is not clear
SMTS00651,651,脉沉细,Mai Chen Xi,Thready pulse
SMTS00652,652,脉细,Mai Xi,thin pulse
SMTS00653,653,脉细弱,Mai Xi Ruo,thin and weak pulse
SMTS00654,654,脉细涩,Mai Xi Se,thin and astringent pulse
SMTS00655,655,脉细数,Mai Xi Shu,thready and rapid pulse
SMTS00656,656,脉细弦,Mai Xi Xian,thin and stringy pulse
SMTS00657,657,脉弦细,Mai Xian Xi,stringy and thin pulse
SMTS00658,658,慢性腹泻,Man Xing Fu Xie,chronic diarrhea
SMTS00660,660,毛发成片脱落,Mao Fa Cheng Pian Tuo Luo,hair falling out in patches
SMTS00661,661,毛发呈稀疏状脱落,Mao Fa Cheng Xi Shu Zhuang Tuo Luo,Hair is thinning and falling out
SMTS00662,662,毛发干燥,Mao Fa Gan Zao,dry hair
SMTS00663,663,毛发松动,Mao Fa Song Dong,loose hair
SMTS00664,664,毛发油腻,Mao Fa You Ni,greasy hair
SMTS00666,666,梦遗,Meng Yi,wet dreams
SMTS00667,667,眠差,Mian Cha,poor sleep
SMTS00668,668,面赤,Mian Chi,red face
SMTS00669,669,面浮肿,Mian Fu Zhong,Facial edema
SMTS00670,670,面红,Mian Hong,flushing
SMTS00671,671,面黄,Mian Huang,yellow face
SMTS00672,672,面目悉黄,Mian Mu Xi Huang,Facial complexion becomes yellowish
SMTS00673,673,面目虚涪,Mian Mu Xu Fu,weak-looking face
SMTS00674,674,面色不华,Mian Se Bu Hua,Unpleasant complexion
SMTS00675,675,面色苍白,Mian Se Cang Bai,pale complexion
SMTS00676,676,面色淡白,Mian Se Dan Bai,Pale complexion
SMTS00677,677,面色恍白,Mian Se Huang Bai,pale complexion
SMTS00678,678,面色晄白,Mian Se Huang Bai,pale complexion
SMTS00679,679,面色黢黑,Mian Se Qu Hei,dark complexion
SMTS00680,680,面色少华,Mian Se Shao Hua,Shaohua complexion
SMTS00681,681,面色萎黄,Mian Se Wei Huang,sallow complexion
SMTS00682,682,面色无华,Mian Se Wu Hua,Pale complexion
SMTS00684,684,面肢浮肿,Mian Zhi Fu Zhong,facial and limb edema
SMTS00685,685,目暗不明,Mu An Bu Ming,Darkness of vision
SMTS00686,686,目暗昏花,Mu An Hun Hua,Dark eyesight
SMTS00687,687,目暗羞明,Mu An Xiu Ming,dark eyes and shyness
SMTS00688,688,目赤,Mu Chi,red eyes
SMTS00689,689,目赤红肿,Mu Chi Hong Zhong,red and swollen eyes
SMTS00690,690,目赤昏花,Mu Chi Hun Hua,red eyes and dim light
SMTS00691,691,目赤翳障,Mu Chi Yi Zhang,red eyes and nebula
SMTS00692,692,目赤肿痛,Mu Chi Zhong Tong,"red, swollen and painful eyes"
SMTS00693,693,目发黄,Mu Fa Huang,yellowing of eyes
SMTS00694,694,目花,Mu Hua,Flowering Eyes
SMTS00695,695,目黄,Mu Huang,yellow eyes
SMTS00696,696,目昏,Mu Hun,dizziness
SMTS00697,697,目昏不明,Mu Hun Bu Ming,blurred vision
SMTS00698,698,目涩,Mu Se,astringent eyes
SMTS00699,699,目生翳膜,Mu Sheng Yi Mo,nebula in the eyes
SMTS00700,700,目生云翳,Mu Sheng Yun Yi,Unseen clouds
SMTS00701,701,目眩,Mu Xuan,dizziness
SMTS00702,702,目痒,Mu Yang,itchy eyes
SMTS00703,703,目淫羞明,Mu Yin Xiu Ming,blurred vision
SMTS00704,704,目胀,Mu Zhang,swelling of eyes
SMTS00705,705,目珠夜痛,Mu Zhu Ye Tong,Eye pain at night
SMTS00706,706,纳差,Na Cha,Anorexia
SMTS00707,707,纳呆,Na Dai,Nausea
SMTS00708,708,纳谷不香,Na Gu Bu Xiang,Nagu is not fragrant
SMTS00709,709,纳少,Na Shao,Nausea
SMTS00710,710,纳少嘈杂,Na Shao Cao Za,Nasty and noisy
SMTS00712,712,脑部疼痛,Nao Bu Teng Tong,Brain Pain
SMTS00713,713,脑功能减退,Nao Gong Neng Jian Tui,decreased brain function
SMTS00714,714,脑络瘀阻,Nao Luo Yu Zu,Cerebral Blood Stasis
SMTS00716,716,内障目暗,Nei Zhang Mu An,Cataract and dark eyes
SMTS00717,717,内痔出血,Nei Zhi Chu Xie,Internal Hemorrhoids Bleeding
SMTS00718,718,年老气喘,Nian Lao Qi Chuan,Asthma in the elderly
SMTS00719,719,年老哮喘,Nian Lao Xiao Chuan,Asthma in the elderly
SMTS00720,720,黏液便,Nian Ye Bian,Mucus stool
SMTS00721,721,尿赤,Niao Chi,red urine
SMTS00722,722,尿道涩痛,Niao Dao Se Tong,urethral astringency and pain
SMTS00723,723,尿道灼热,Niao Dao Zhuo Re,Urethral burning
SMTS00724,724,尿点滴而下,Niao Dian Di Er Xia,dribbling of urine
SMTS00725,725,尿后滴沥,Niao Hou Di Li,dripping after urination
SMTS00726,726,尿后余沥不尽,Niao Hou Yu Li Bu Jin,Incessant drainage after urination
SMTS00727,727,尿黄,Niao Huang,yellow urine
SMTS00728,728,尿黄如茶,Niao Huang Ru Cha,urine as yellow as tea
SMTS00729,729,尿混浊,Niao Hun Zhuo,cloudy urine
SMTS00730,730,尿急,Niao Ji,Urgency of urination
SMTS00732,732,尿频,Niao Pin,Frequent urination
SMTS00733,733,尿频数,Niao Pin Shu,Frequent urination
SMTS00734,734,尿热,Niao Re,hot urination
SMTS00735,735,尿色赤黄,Niao Se Chi Huang,red-yellow urine
SMTS00736,736,尿色偏黄,Niao Se Pian Huang,yellowish urine
SMTS00737,737,尿涩,Niao Se,astringent urine
SMTS00738,738,尿涩痛,Niao Se Tong,astringent and painful urination
SMTS00739,739,尿少,Niao Shao,oliguria
SMTS00740,740,尿痛,Niao Tong,painful urination
SMTS00741,741,尿线细,Niao Xian Xi,thin urine lines
SMTS00742,742,尿血,Niao Xie,blood in urine
SMTS00743,743,尿血血色鲜红,Niao Xie Xie Se Xian Hong,bright red blood in urine
SMTS00744,744,尿血血色紫红,Niao Xie Xie Se Zi Hong,Purple-red blood in urine
SMTS00745,745,扭腰,Niu Yao,twisted waist
SMTS00746,746,脓成不溃,Nong Cheng Bu Kui,pus does not ulcerate
SMTS00747,747,脓腐将荆,Nong Fu Jiang Jing,purulent rot and thorns
SMTS00748,748,脓疱,Nong Pao,pustules
SMTS00749,749,脓水,Nong Shui,pus
SMTS00750,750,脓痰,Nong Tan,purulent phlegm
SMTS00752,752,衄血,Nv Xie,epistaxis
SMTS00753,753,呕恶,Ou E,Vomiting
SMTS00754,754,呕逆,Ou Ni,Vomiting
SMTS00755,755,呕吐,Ou Tu,vomiting
SMTS00756,756,呕吐清水,Ou Tu Qing Shui,Vomiting clear water
SMTS00757,757,呕吐乳食,Ou Tu Ru Shi,Vomiting after breastfeeding
SMTS00758,758,呕吐痰涎,Ou Tu Tan Xian,Vomiting and phlegm
SMTS00759,759,呕吐吞酸,Ou Tu Tun Suan,"vomiting, acid swallowing"
SMTS00761,761,排尿滴沥不尽,Pai Niao Di Li Bu Jin,Incontinent urination
SMTS00762,762,排尿困难,Pai Niao Kun Nan,Difficulty urinating
SMTS00763,763,喷嚏,Pen Ti,sneezing
SMTS00765,765,皮肤风团色红,Pi Fu Feng Tuan Se Hong,skin wheals with red color
SMTS00767,767,皮肤干燥,Pi Fu Gan Zao,dry skin
SMTS00768,768,皮肤黄染,Pi Fu Huang Ran,yellowish skin
SMTS00769,769,皮肤皲裂,Pi Fu Jun Lie,chapped skin
SMTS00770,770,皮肤潰疡,Pi Fu Kui Yang,skin ulcers
SMTS00771,771,皮肤糜烂,Pi Fu Mi Lan,skin erosion
SMTS00772,772,皮肤黏膜破溃,Pi Fu Nian Mo Po Kui,skin and mucous membrane ulcers
SMTS00773,773,皮肤青紫,Pi Fu Qing Zi,blue and purple skin
SMTS00774,774,皮肤瘙痒,Pi Fu Sao Yang,itchy skin
SMTS00775,775,皮肤色斑,Pi Fu Se Ban,skin spots
SMTS00776,776,皮肤湿烂,Pi Fu Shi Lan,wet and rotten skin
SMTS00777,777,皮肤湿疹,Pi Fu Shi Zhen,skin eczema
SMTS00778,778,皮肤瘀斑,Pi Fu Yu Ban,skin ecchymosis
SMTS00779,779,皮肤肿痛,Pi Fu Zhong Tong,skin swelling and pain
SMTS00780,780,皮肤紫斑,Pi Fu Zi Ban,skin purpura
SMTS00781,781,皮肤紫癜,Pi Fu Zi Dian,skin purpura
SMTS00782,782,皮损呈红斑湿润,Pi Sun Cheng Hong Ban Shi Run,The skin lesions are erythematous and moist
SMTS00783,783,皮下结块,Pi Xia Jie Kuai,subcutaneous agglomeration
SMTS00784,784,皮下紫斑,Pi Xia Zi Ban,Purpura under the skin
SMTS00785,785,皮疹表面覆有较厚的银白色鳞屑,Pi Zhen Biao Mian Fu You Jiao Hou De Yin Bai Se Lin Xie,The rash is covered with thick silvery white scales.
SMTS00786,786,皮疹色鲜红,Pi Zhen Se Xian Hong,bright red rash
SMTS00789,789,疲乏无力,Pi Fa Wu Li,fatigue and weakness
SMTS00790,790,疲倦,Pi Juan,fatigue
SMTS00791,791,脾胃气滞,Pi Wei Qi Zhi,Spleen and stomach qi stagnation
SMTS00792,792,脾虚,Pi Xu,spleen deficiency
SMTS00793,793,脾虚气滞,Pi Xu Qi Zhi,spleen deficiency and qi stagnation
SMTS00794,794,痞满,Pi Man,fullness
SMTS00795,795,痞闷,Pi Men,Suffocation
SMTS00796,796,偏身麻木,Pian Shen Ma Mu,Numbness on one side of the body
SMTS00797,797,偏瘫,Pian Tan,Hemiplegia
SMTS00798,798,偏头痛,Pian Tou Tong,Migraine
SMTS00799,799,贫血,Pin Xie,anemia
SMTS00800,800,脐腹胀痛,Qi Fu Zhang Tong,umbilical and abdominal distension and pain
SMTS00801,801,起坐不利,Qi Zuo Bu Li,Difficulty in sitting up
SMTS00802,802,气闭昏厥,Qi Bi Hun Jue,breathlessness and fainting
SMTS00803,803,气喘,Qi Chuan,Asthma
SMTS00804,804,气喘咳嗽,Qi Chuan Ke Sou,Asthma and cough
SMTS00805,805,气粗,Qi Cu,rough Qi
SMTS00806,806,气促,Qi Cu,shortness of breath
SMTS00807,807,气促喘息,Qi Cu Chuan Xi,shortness of breath and wheezing
SMTS00808,808,气短,Qi Duan,shortness of breath
SMTS00809,809,气急,Qi Ji,shortness of breath
SMTS00810,810,气逆,Qi Ni,Qi Rebellion
SMTS00811,811,气逆喘急,Qi Ni Chuan Ji,"shortness of breath, shortness of breath, and shortness of breath"
SMTS00812,812,气逆喘咳,Qi Ni Chuan Ke,"dyspnea, asthma and cough"
SMTS00813,813,气阴两虚,Qi Yin Liang Xu,Qi and Yin deficiency
SMTS00814,814,气郁,Qi Yu,Qi depression
SMTS00815,815,气滞胃痛,Qi Zhi Wei Tong,Qi stagnation and stomach pain
SMTS00816,816,前额头痛,Qian E Tou Tong,forehead headache
SMTS00817,817,前额压痛,Qian E Ya Tong,forehead tenderness
SMTS00819,819,浅表脓疱,Qian Biao Nong Pao,Superficial pustules
SMTS00820,820,青盲雀目,Qing Mang Que Mu,Blue Blind Bird Eyes
SMTS00821,821,靑少年远视力下降,Qing Shao Nian Yuan Shi Li Xia Jiang,Distance vision loss in young people
SMTS00823,823,轻度视力下降,Qing Du Shi Li Xia Jiang,mild vision loss
SMTS00825,825,情志不畅,Qing Zhi Bu Chang,poor mood
SMTS00826,826,情志抑郁,Qing Zhi Yi Yu,Emotional Depression
SMTS00827,827,屈伸不利,Qu Shen Bu Li,Difficulty in flexion and extension
SMTS00828,828,龋齿疼痛,Qu Chi Teng Tong,dental caries pain
SMTS00829,829,全身乏力,Quan Shen Fa Li,general fatigue
SMTS00830,830,全身酸疼,Quan Shen Suan Teng,body aches
SMTS00831,831,颧骨部压痛,Quan Gu Bu Ya Tong,Tenderness in the cheekbones
SMTS00832,832,热痹疼痛,Re Bi Teng Tong,heat numbness and pain
SMTS00833,833,热病发热,Re Bing Fa Re,Fever
SMTS00834,834,热病发烧,Re Bing Fa Shao,Fever
SMTS00835,835,热病烦渴,Re Bing Fan Ke,fever and polydipsia
SMTS00836,836,热毒泻痢,Re Du Xie Li,heat poisoning and diarrhea
SMTS00837,837,热毒血痢,Re Du Xie Li,"dysentery caused by heat, poison, and blood"
SMTS00838,838,热痢,Re Li,fever dysentery
SMTS00839,839,热淋涩痛,Re Lin Se Tong,hot stranguria and astringent pain
SMTS00840,840,热淋证,Re Lin Zheng,heat stranguria syndrome
SMTS00841,841,热痰,Re Tan,hot phlegm
SMTS00842,842,热泻,Re Xie,hot diarrhea
SMTS00843,843,妊娠恶阻,Ren Shen E Zu,Pregnancy obstruction
SMTS00844,844,妊娠漏血,Ren Shen Lou Xie,Pregnancy Bleeding
SMTS00845,845,妊娠呕吐,Ren Shen Ou Tu,Vomiting in pregnancy
SMTS00846,846,妊娠胎漏,Ren Shen Tai Lou,Pregnancy Leakage
SMTS00848,848,乳房结节,Ru Fang Jie Jie,Breast Nodules
SMTS00849,849,乳房疼痛,Ru Fang Teng Tong,Breast Pain
SMTS00850,850,乳房有块,Ru Fang You Kuai,lump in breast
SMTS00851,851,乳房胀痛,Ru Fang Zhang Tong,Breast swelling and pain
SMTS00852,852,乳房肿块,Ru Fang Zhong Kuai,Breast Lumps
SMTS00853,853,乳房肿痛,Ru Fang Zhong Tong,breast swelling and pain
SMTS00854,854,乳癖,Ru Pi,Breast Mania
SMTS00855,855,乳少,Ru Shao,lack of breast milk
SMTS00856,856,乳腺增生,Ru Xian Zeng Sheng,Breast hyperplasia
SMTS00857,857,乳痈,Ru Yong,mastitis
SMTS00858,858,乳痈初起,Ru Yong Chu Qi,initial onset of mastitis
SMTS00859,859,乳胀痛,Ru Zhang Tong,Breast swelling and pain
SMTS00860,860,乳汁不通,Ru Zhi Bu Tong,Lactation obstruction
SMTS00861,861,乳汁不下,Ru Zhi Bu Xia,Lack of Breast Milk
SMTS00862,862,乳汁郁积,Ru Zhi Yu Ji,galactostasis
